year	division	category	winner	award
2017	Dining Establishments	Private Club	Jeremy Ranch Golf & Country Club	medal
2017	Dining Establishments	Restaurant Burger	Bona Vita Italian Bistro	medal
2017	Dining Establishments	Salads	Bona Vita Italian Bistro	medal
2017	Dining Establishments	Seafood	Cliffside Restaurant	medal
2017	Dining Establishments	Shakes	Home of the Train/Dairy Keen	medal
2017	Dining Establishments	Smoothies	The Orange Peel, Inc.	medal
2017	Dining Establishments	Soup	Home of the Train/Dairy Keen	medal
2017	Dining Establishments	Specialty Beverages	caffe d'bolla	medal
2017	Dining Establishments	Specialty Foods	Home of the Train/Dairy Keen	medal
2017	Dining Establishments	Steaks	Edge Steakhouse	medal
2017	Dining Establishments	Steaks	Ruby River Steakhouse	medal
2017	Dining Establishments	Sushi	Same Sushi	medal
2017	Dining Establishments	Sushi	Tona Sushi Bar and Grill	medal
2017	Dining Establishments	Szechuan	Szechwan Chinese Kitchen	medal
2017	Dining Establishments	Texas Barbeque	Sonny Boy's Barbecue	medal
2017	Dining Establishments	Thai	99 Thai Fusion Restaurant	medal
2017	Dining Establishments	Thai	Bangkok Garden Restaurant	medal
2017	Dining Establishments	Traditional Indian	India Palace	medal
2017	Dining Establishments	Traditional Italian	Fratelli Ristorante	medal
2017	Dining Establishments	Traditional Pizza	Marco's Pizza	medal
2017	Dining Establishments	Vietnamese	Bangkok Garden Restaurant	medal
2017	Dining Establishments	Western Barbeque	Holy Smoke BBQ and Grill	medal
2017	Dining Establishments	Wine List	Spencer's for Steaks and Chops	medal
2017	Dining Establishments	Wine Service	Edge Steakhouse	medal
2017	Education	Adjunct Professor	David F. Pack, PH.D.	medal
2017	Education	Administrator	Joseph Loftin, Wasatch Academy	medal
2017	Education	Adult Education	Utah State University Extension	medal
2017	Education	Alternative Education	Heritage	medal
2017	Education	Arts in Education	Hale Centre Theatre	medal
2017	Education	Charter School	American Prep School for New Americans	medal
2017	Education	College/University Student	Carter Maclean	medal
2017	Education	College/University Teacher	Steven C. Huff	medal
2017	Education	Continuing Education	National Institute of Medical Aesthetics	medal
2017	Education	Curriculum Development	Mountain Heights Academy	medal
2017	Education	Early Childhood Educator	Kids Village	medal
2017	Education	Educational Institution	Beehive Science and Technology Academy	medal
2017	Education	Educational Service	LDSBC Student Development Center	medal
2017	Education	Food & Beverage Service Education	Harmons Santa Clara Cooking School	medal
2017	Education	K-12 Online Education	Mountain Heights Academy	medal
2017	Education	Music Education	Caleb Chapman	medal
2017	Education	On-line Education	Western Governors University	medal
2017	Education	Principal	Hanifi Oguz	medal
2017	Education	Private Preschool	Kids Village	medal
2017	Education	Private School K-12	Wasatch Academy, Private K-12	medal
2017	Education	Public Preschool Program	Utah Community Action Head Start	medal
2017	Education	Public School K-12	Lone Peak High School	medal
2017	Education	Seminar Training/Education	LDS Business College Devotional Series	medal
2017	Education	Special Education	Kids On The Move	medal
2017	Education	Special Interest Education	Wasatch Academy, Special Interest Education	medal
2017	Education	Student K-12	Aubrie Ann Aagard	medal
2017	Education	Support Personnel	Provo City School District Child Nutrition Program	medal
2017	Education	Teacher K-12	Emma Chiappetta, Wasatch Academy Teacher K-12	medal
2017	Education	Teacher Training	Ed Direction	medal
2017	Education	Vocational Training - Private	LDS Business College	medal
2017	Education	Vocational Training - Public	Ogden-Weber Applied Technology College	medal
2017	Education	Volunteer Service	Elder Van Norman	medal
2017	Hospitality, Travel & Tourism	Adventure Travel	Western River Expeditions/Moab Adventure Center	medal
2017	Hospitality, Travel & Tourism	Attractions	Lagoon Amusement Park	medal
2017	Hospitality, Travel & Tourism	Bed & Breakfast	The Blue Boar Inn & Restaurant	medal
2017	Hospitality, Travel & Tourism	Bridal/Wedding Services	FUSE Weddings & Events	medal
2017	Hospitality, Travel & Tourism	Caterers	LUX Catering & Events	medal
2017	Hospitality, Travel & Tourism	Convention and Meeting Facilities	The Grand America Hotel	medal
2017	Hospitality, Travel & Tourism	Convention and Meeting Services	Webb	medal
2017	Hospitality, Travel & Tourism	Day Spas	The Grand Spa	medal
2017	Hospitality, Travel & Tourism	Destination Management	RMC - Resorts, Mountains, Cities	medal
2017	Hospitality, Travel & Tourism	Destination Spas	Serenity Spa by Westgate	medal
2017	Hospitality, Travel & Tourism	Entertainment Venue	Thanksgiving Point	medal
2017	Hospitality, Travel & Tourism	Event Cakes & Confections	Carrie's Cakes	medal
2017	Hospitality, Travel & Tourism	Event Entertainment	Utah Live Bands	medal
2017	Hospitality, Travel & Tourism	Event Games & Features	Mystery Escape Room	medal
2017	Hospitality, Travel & Tourism	Event Planner	Michelle Leo Events	medal
2017	Hospitality, Travel & Tourism	Event/Performance Venue	Thanksgiving Point	medal
2017	Hospitality, Travel & Tourism	Fairs, Festivals and Events	Tulip Festival	medal
2017	Hospitality, Travel & Tourism	Fishing/River Outfitters	Western River Expeditions/Moab Adventure Center	medal
2017	Hospitality, Travel & Tourism	Golf Courses	Red Ledges	medal
2017	Hospitality, Travel & Tourism	Historical/Heritage Sites	Mormon Pioneer National Heritage Area	medal
2017	Hospitality, Travel & Tourism	Hotels	The Grand America Hotel	medal
2017	Hospitality, Travel & Tourism	Inns	Inn on the Cliff	medal
2017	Hospitality, Travel & Tourism	Museums	Museum of Natural Curiosity	medal
2017	Hospitality, Travel & Tourism	Recreation/Activity Facility	Lagoon Amusement Park	medal
2017	Hospitality, Travel & Tourism	Ski Resorts	Westgate Park City Resort & Spa	medal
2017	Hospitality, Travel & Tourism	Transportation Services	SkyWest, Inc.	medal
2017	Hospitality, Travel & Tourism	Travel Agencies	Get Away Today	medal
2017	Hospitality, Travel & Tourism	Vacation Rentals	Paradise Village at Zion	medal
2017	Merchandising & Consumer Services	Animal Clinic	Animal Care Center and Staff	medal
2017	Merchandising & Consumer Services	Animal Hospital	University Veterinary Hospital & Diagnostic Center	medal
2017	Merchandising & Consumer Services	Animal Training	Ty the Dog Guy	medal
2017	Merchandising & Consumer Services	Apparel	Cariloha	medal
2017	Merchandising & Consumer Services	Art Gallery/Broker	The Frame Works, Inc.	medal
2017	Merchandising & Consumer Services	Assisted Living Facilities	Courtyard at Jamestown Assisted Living	medal
2017	Merchandising & Consumer Services	Auditory Services	Timpanogos Hearing & Balance	medal
2017	Merchandising & Consumer Services	Auto Dealers, new	Ken Garff Automotive Group	medal
2017	Merchandising & Consumer Services	Auto Dealers, used	Kentson Car Company	medal
2017	Merchandising & Consumer Services	Automotive Services	LUXE Auto Spa	medal
2017	Merchandising & Consumer Services	Construction - Residential	Davies Design Build	medal
2017	Merchandising & Consumer Services	Consumer Electronics	PC Laptops	medal
2017	Merchandising & Consumer Services	Cosmetic Dentistry	Apex Family & Cosmetic Dentistry	medal
2017	Merchandising & Consumer Services	Cosmetic/Medical Spa	Elase Medical Spas	medal
2017	Merchandising & Consumer Services	Credit Unions	Goldenwest Credit Union	medal
2017	Merchandising & Consumer Services	Dental Services	Signature Smiles, Keith V. Nelson DDS	medal
2017	Merchandising & Consumer Services	Dietary Supplements	USANA Health Sciences	medal
2017	Merchandising & Consumer Services	Essential Oils/Botanicals	dōTERRA	medal
2017	Merchandising & Consumer Services	Eye Care	SouthWest Vision	medal
2017	Merchandising & Consumer Services	Flooring	Maxwell Flooring	medal
2017	Merchandising & Consumer Services	Floral Design	Olive & Cocoa	medal
2017	Merchandising & Consumer Services	Funeral Services	Larkin Mortuary	medal
2017	Merchandising & Consumer Services	Furniture	Osmond Designs	medal
2017	Merchandising & Consumer Services	General Merchandising	Overstock.com	medal
2017	Merchandising & Consumer Services	Gifts/Household Goods	Minky Couture	medal
2017	Merchandising & Consumer Services	Health Care Services	Ogden Clinic	medal
2017	Merchandising & Consumer Services	Health/Nutrition Beverage	USANA Health Sciences	medal
2017	Merchandising & Consumer Services	Health/Nutrition Products	USANA Health Sciences	medal
2017	Merchandising & Consumer Services	Heating & Air Conditioning	Manwill Plumbing and Heating	medal
2017	Merchandising & Consumer Services	Home & Appliance Services	Landmark Home Warranty	medal
2017	Merchandising & Consumer Services	Home Decor	Lisman Studio	medal
2017	Merchandising & Consumer Services	Hospice/Home Health Care	Valeo Home Health & Hospice	medal
2017	Merchandising & Consumer Services	Independent Senior Living	Cedarwood at Sandy	medal
2017	Merchandising & Consumer Services	Interior Design	Lisman Studio	medal
2017	Merchandising & Consumer Services	Jewelry	Joey's Diamond Creations	medal
2017	Merchandising & Consumer Services	Landscape Services & Supplies	Lawn Butler	medal
2017	Merchandising & Consumer Services	Laundry/Cleaning Services	Tide Dry Cleaners- LooLoo LLC	medal
2017	Merchandising & Consumer Services	Medical Equipment/Supplies	Alpine Home Medical Equipment	medal
2017	Merchandising & Consumer Services	Medical Services	Utah Spine & Sport	medal
2017	Merchandising & Consumer Services	Mental Health Services	Odyssey House of Utah	medal
2017	Merchandising & Consumer Services	Miscellaneous Merchandising/Services	Bareface Artistry	medal
2017	Merchandising & Consumer Services	Optical Care	SouthWest Vision	medal
2017	Merchandising & Consumer Services	Orthodontics	Payne Orthodontics	medal
2017	Merchandising & Consumer Services	Personal Care Products/Cosmetics	USANA Health Sciences	medal
2017	Merchandising & Consumer Services	Plumbing	Manwill Plumbing and Heating	medal
2017	Merchandising & Consumer Services	Pools & Spas	Bullfrog Spas	medal
2017	Merchandising & Consumer Services	Preparedness Foods & Supplies	Nitro-Pak Preparedness Center Inc.	medal
2017	Merchandising & Consumer Services	Recreational Vehicles	Harrison Eurosports	medal
2017	Merchandising & Consumer Services	Remodeling/Home Improvement	Lisman Studio	medal
2017	Merchandising & Consumer Services	Repair & Restoration Services	BELFOR Property Restoration	medal
2017	Merchandising & Consumer Services	Residential Architecture	Walker Home Design	medal
2017	Merchandising & Consumer Services	Residential Building Subcontractor	RGS Exteriors and Construction	medal
2017	Merchandising & Consumer Services	Residential Maintenance & Repair	Far West Roofing	medal
2017	Merchandising & Consumer Services	Skilled Nursing Facilities	Mission Health Services	medal
2017	Merchandising & Consumer Services	Sporting Goods/Firearms	Ready Gunner	medal
2017	Merchandising & Consumer Services	Vehicle Maintenance	LUXE Auto Spa	medal
2017	Merchandising & Consumer Services	Youth Treatment Center	Alpine Academy	medal
2017	Merchandising & Consumer Services	office/School Supplies & Equipment	Interior Alliance	medal
2017	Production & Manufacturing	Beverage	Swire Coca-Cola, USA	medal
2017	Production & Manufacturing	Brewery/Winery	The Hive Winery, Inc.	medal
2017	Production & Manufacturing	Components/Fabricating	Critical Laser	medal
2017	Production & Manufacturing	Consumer Electronics	PC Laptops	medal
2017	Production & Manufacturing	Consumer Electronics Accessories	BGZ brands	medal
2017	Production & Manufacturing	Dairy Products	Heber Valley Artisan Cheese	medal
2017	Production & Manufacturing	Electrical/Power Products	Tycon Systems Inc.	medal
2017	Production & Manufacturing	Electro/Mechanical	Intermountain Electronics, Inc.	medal
2017	Production & Manufacturing	Fabrication	Petersen Incorporated	medal
2017	Production & Manufacturing	Food Manufacturing/Processing	My Cookie Fix	medal
2017	Production & Manufacturing	Furniture/Fixtures	Granite Mill & Fixture Co.	medal
2017	Production & Manufacturing	Gourmet/Artisan Foods	caffe d'bolla	medal
2017	Production & Manufacturing	Greenhouse/Nursery	BioGrass Sod Farms	medal
2017	Production & Manufacturing	Hardware	Saygus	medal
2017	Production & Manufacturing	Jewelry	Brian Baity Studio	medal
2017	Production & Manufacturing	Large Format Printing	Vision Graphics	medal
2017	Production & Manufacturing	Livestock	Smithfield	medal
2017	Production & Manufacturing	Machinery	Wheeler Machinery Co.	medal
2017	Production & Manufacturing	Medical Manufacturing	Oral Design Dental Lab	medal
2017	Production & Manufacturing	Microelectronics	Tycon Systems Inc.	medal
2017	Production & Manufacturing	Mining/Quarrying	Staker Parson Companies	medal
2017	Production & Manufacturing	Miscellaneous Manufacturing Industries	USANA Health Sciences	medal
2017	Production & Manufacturing	Outdoor/Recreational Equipment	Western Timber Frame	medal
2017	Production & Manufacturing	Produce	Petersen Family Farm	medal
2017	Production & Manufacturing	Promotional Products	SymbolArts	medal
2017	Production & Manufacturing	Signage/Display	Allotech	medal
2017	Production & Manufacturing	Textile Products	Del Sol	medal
2017	Production & Manufacturing	Transportation Equipment	International Armoring Corporation	medal
2017	Production & Manufacturing	Wholesale Goods	Wheeler Machinery Co.	medal
2017	Production & Manufacturing	Wood Products	Western Timber Frame	medal
2017	Science & Technology	Analytical Laboratory	UVU Vivint SMARTLab	medal
2017	Science & Technology	Applied Science/Technology	InsideSales.com	medal
2017	Science & Technology	Civil Engineering	Hansen, Allen & Luce, Inc.	medal
2017	Science & Technology	Computer Network Solutions	Les Olson Company	medal
2017	Science & Technology	Computer Related Services	Executech	medal
2017	Science & Technology	Computer and Software Providers (VARS)	PC Laptops	medal
2017	Science & Technology	Electrical Engineering	Spectrum Engineers	medal
2017	Science & Technology	Energy Products	Legend Solar	medal
2017	Science & Technology	Environmental Science	Aqua-Yield	medal
2017	Science & Technology	Hardware/Firmware Development	Saygus	medal
2017	Science & Technology	Interactive/Multimedia	EKR	medal
2017	Science & Technology	Inventor	Brad Ouderkirk	medal
2017	Science & Technology	Lighting Design	Bastion Technologies, LLC	medal
2017	Science & Technology	Mechanical Engineering	Colvin Engineering Associates	medal
2017	Science & Technology	Medical Innovation	American Biotech Labs	medal
2017	Science & Technology	Research and Development	Bastion Technologies, LLC	medal
2017	Science & Technology	Smart Homes & Buildings	Smart Rain	medal
2017	Science & Technology	Software Development/Publishers	iSolved HCM	medal
2017	Science & Technology	Solar Technology	Legend Solar	medal
2017	Science & Technology	Structural Engineering	Reaveley Engineers + Associates	medal
2017	Science & Technology	Telecommunications	Saygus	medal
2017	Science & Technology	Web Design	EKR	medal
2017	Science & Technology	Web Development	EKR	medal
2017	Sports & Recreation	Dance Studio	C&C Ballet Academy	medal
2017	Sports & Recreation	Equestrian Sports	Wasatch Academy, Equestrian Sports	medal
2017	Sports & Recreation	Family & Group Sports Facilities	FatCats	medal
2017	Sports & Recreation	Fitness Camp/Retreat	One Fitness Camp	medal
2017	Sports & Recreation	Golf Program	Hobble Creek Golf Course	medal
2017	Sports & Recreation	Gymnastics Studio	Black Diamond Gymnastics and Sports Center	medal
2017	Sports & Recreation	High School Coach	Coach Curtis Condie, Wasatch Academy	medal
2017	Sports & Recreation	Male Amateur Athlete	Martin M Frey	medal
2017	Sports & Recreation	Male High School Athlete	Josip Vrankic, Wasatch Academy Athlete	medal
2017	Sports & Recreation	Martial Arts Studio	International Martial Arts Association of Utah	medal
2017	Sports & Recreation	Parks	Washington City Parks Department	medal
2017	Sports & Recreation	Personal Training	Alpine Fitness	medal
2017	Sports & Recreation	Player Development	MVP Sports Science Institute	medal
2017	Sports & Recreation	Private Fitness/Recreation Facility	MVP Sports Science	medal
2017	Sports & Recreation	Public Fitness/Recreation Facility	Washington City Community Center	medal
2017	Sports & Recreation	Recreation/Sports Program	Club V Volleyball	medal
2017	Sports & Recreation	Recreational Attraction	Mystery Escape Room	medal
2017	Sports & Recreation	Recreational Coach	David F. Pack, Ph.D.	medal
2017	Sports & Recreation	Sporting Event	Huntsman World Senior Games	medal
2017	Sports & Recreation	Sports & Recreation Products	ARIIX	medal
2017	Sports & Recreation	Winter Recreation	Utah Outdoor Adventures	medal
2017	Sports & Recreation	off-Road Recreation Products	SureCan Incorporated	medal
2018	Arts & Entertainment	A Cappella Group	Octappella Entertainment	medal
2018	Arts & Entertainment	Book - Instructional	Dixon Security Cameras	medal
2018	Arts & Entertainment	Carving	Tod L. Wadsworth	medal
2018	Arts & Entertainment	Children's Book	Anders Roseberg	medal
2018	Arts & Entertainment	Children's Choral Group	One Voice Children's Choir	medal
2018	Arts & Entertainment	Children's Orchestra	Lyceum Music Festival--Youth	medal
2018	Arts & Entertainment	Children's Performing Group	One Voice Children's Choir	medal
2018	Arts & Entertainment	Children's Theater	Utah Children's Theatre	medal
2018	Arts & Entertainment	Choral Group	Salt Lake Choral Artists	medal
2018	Arts & Entertainment	Choreographer	Lindsay Folkman	medal
2018	Arts & Entertainment	Community Arts	Utah Conservatory of Performing Arts	medal
2018	Arts & Entertainment	Community Theater	Sandy Arts Guild	medal
2018	Arts & Entertainment	Dance Group	Odyssey Dance Theatre	medal
2018	Arts & Entertainment	Digital Art	Rachel Ann Wadsworth	medal
2018	Arts & Entertainment	Documentary	G. Scott Porter	medal
2018	Arts & Entertainment	Event DJ	Life of the Party Entertainment	medal
2018	Arts & Entertainment	Fiction	Heather B. Moore	medal
2018	Arts & Entertainment	Handicrafts	Brian Baity Studio	medal
2018	Arts & Entertainment	Individual Vocalist	Melody Pulsipher	medal
2018	Arts & Entertainment	Instructional/Corporate Video	ISSIMO - Story Agency	medal
2018	Arts & Entertainment	Instrumental Group	Caleb Chapman's Crescent Super Band	medal
2018	Arts & Entertainment	Journalism	Chris Redgrave	medal
2018	Arts & Entertainment	Magazine	Etched Magazine	medal
2018	Arts & Entertainment	Nature Photography	Dave Koch Photography	medal
2018	Arts & Entertainment	Non-fiction	Jeff O'Driscoll	medal
2018	Arts & Entertainment	Orchestra	Lyceum Philharmonic at American Heritage School	medal
2018	Arts & Entertainment	Original Music Composition	Faith Angelina Dixon	medal
2018	Arts & Entertainment	Party/Cover Band	Groove Merchants Band	medal
2018	Arts & Entertainment	Poetry	Thal Dixon	medal
2018	Arts & Entertainment	Portrait Photography	Busath Studio & Gardens	medal
2018	Arts & Entertainment	Professional Theater	Hale Centre Theatre	medal
2018	Arts & Entertainment	Public Art	Tremonton City	medal
2018	Arts & Entertainment	Publication	Etched Magazine	medal
2018	Arts & Entertainment	Sculpture	Scot Olson	medal
2018	Arts & Entertainment	Short Movie	ISSIMO - Story Agency	medal
2018	Arts & Entertainment	Short Story	Sarah M. Eden	medal
2018	Arts & Entertainment	Specialty Act	Groove Merchants Band	medal
2018	Arts & Entertainment	Talent Representation	Utah Live Bands, LLC	medal
2018	Arts & Entertainment	Theater Group/Director	Hale Centre Theatre	medal
2018	Arts & Entertainment	Videography	Chris McClain	medal
2018	Arts & Entertainment	Vocal/Instrumental Band	Caleb Chapman's Crescent Super Band	medal
2018	Arts & Entertainment	Wedding Photography	Pepper Nix Photography	medal
2018	Arts & Entertainment	Wedding Videography	Chris McClain	medal
2018	Arts & Entertainment	Youth Individual Instrumentalist	Faith Angelina Dixon	medal
2018	Arts & Entertainment	Youth Instrumental Group	Caleb Chapman's Little Big Band	medal
2018	Arts & Entertainment	Youth Small Ensemble	The Bear Quartet	medal
2018	Business Services	Accounting	Tanner LLC	medal
2018	Business Services	Advertising Agencies	EKR	medal
2018	Business Services	Alternative Health Care	Odyssey House of Utah - Martindale Clinic	medal
2018	Business Services	Banking	Zions Bank	medal
2018	Business Services	Commercial Animal Care	The Utah Dog Park and Team	medal
2018	Business Services	Commercial Architecture	Method Studio	medal
2018	Business Services	Commercial Building Subcontractor	Tuck Landscaping	medal
2018	Business Services	Construction - Commercial	Big-D Construction	medal
2018	Business Services	Corporate Wellness	Zions Bank	medal
2018	Business Services	Customer Servicing/Call Centers	Visa	medal
2018	Business Services	Data Services	Cicero Group	medal
2018	Business Services	Electrical Services	Black Diamond Experts	medal
2018	Business Services	Employment/Talent Agencies	PrincePerelson & Associates	medal
2018	Business Services	Environmental Impact	WSI of Utah	medal
2018	Business Services	Equipment Finance	Onset Financial	medal
2018	Business Services	Farm Equipment & Supplies	Black Dirt Organics LLC	medal
2018	Business Services	Financial Services	Mountain America Credit Union	medal
2018	Business Services	Food Services & Distributors	Nicholas and Company	medal
2018	Business Services	Freight/Logistics	England Logistics	medal
2018	Business Services	Graphic Design	EKR	medal
2018	Business Services	Health Care Facilities	Burg Children's Dentistry and Orthodontics	medal
2018	Business Services	In-house Health Clinic	Odyssey House of Utah - Martindale Clinic	medal
2018	Business Services	Insurance	EMI Health	medal
2018	Business Services	Investment Advisory Services	Paragon Wealth Management	medal
2018	Business Services	Language Services	inWhatLanguage	medal
2018	Business Services	Legal Services	The Franchise & Business Law Group	medal
2018	Business Services	Maintenance	Tuck Landscape	medal
2018	Business Services	Marketing	EKR	medal
2018	Business Services	Miscellaneous Services	Hansen's Landscape Services, Inc.	medal
2018	Business Services	Mortgage Banking	Academy Mortgage Corporation	medal
2018	Business Services	Mortgage Broker	City Creek Mortgage Corp.	medal
2018	Business Services	Nursing	Community Nursing Services	medal
2018	Business Services	Office Equipment & Services	Interior Alliance	medal
2018	Business Services	Payroll/Benefits	PayLogics	medal
2018	Business Services	Pharmacies	Hurricane Family Pharmacy	medal
2018	Business Services	Physical Therapy	Registered Physical Therapists, Inc	medal
2018	Business Services	Product Distribution	Roofers Supply, Inc.	medal
2018	Business Services	Property Management	Real Property Management	medal
2018	Business Services	Public Relations	Intrepid	medal
2018	Business Services	Real Estate Development	Woodside Homes, Utah	medal
2018	Business Services	Real Estate Services	Keller Williams Realty - Utah Region	medal
2018	Business Services	Retirement Planning	Cambridge Financial Advisers	medal
2018	Business Services	Roofing	Far West Roofing	medal
2018	Business Services	Title/Escrow	Novation Title Insurance Agency	medal
2018	Community Development	Animal Services	Salt Lake County Animal Services	medal
2018	Community Development	Appointed Official	David F. Pack, Ph.D.	medal
2018	Community Development	Associations/Chambers	Ogden Downtown Alliance	medal
2018	Community Development	Charitable/Service Organization	The Younique Foundation	medal
2018	Community Development	City Planning	David Dobbins	medal
2018	Community Development	Community Communications	Intrepid	medal
2018	Community Development	Corporate Giving	Wheeler Machinery Co.	medal
2018	Community Development	Economic Development	Lagoon Amusement Park	medal
2018	Community Development	Education/Advocacy Organization	Better Days 2020	medal
2018	Community Development	Elected State Official	Utah Attorney General Sean Reyes	medal
2018	Community Development	Employer	USANA	medal
2018	Community Development	Entrepreneur	Rudy Larsen	medal
2018	Community Development	Financial Assistance	Footsteps for Fertility Foundation	medal
2018	Community Development	Government Relations	RRJ Consulting	medal
2018	Community Development	Humanitarian Organization	The Haven	medal
2018	Community Development	Individual Humanitarian	Brian Baity	medal
2018	Community Development	Individual Volunteer	David F. Pack, Ph.D.	medal
2018	Community Development	Large Business	Wheeler Machinery Co.	medal
2018	Community Development	Library	Springville Public Library	medal
2018	Community Development	Mayor	Troy K Walker	medal
2018	Community Development	Parks & Recreation Department	Women's Council McKay Dee Hospital	medal
2018	Community Development	Project Development	Hogan & Associates Construction	medal
2018	Community Development	Public Safety	Utah Attorney General's Office - Investigations	medal
2018	Community Development	Public Works	Ogden's Christmas Village	medal
2018	Community Development	Public/Private Partnership	Utah Children's Justice Center	medal
2018	Community Development	Publication	SW Utah Public Health Foundation's HEALTH Magazine	medal
2018	Community Development	Small Business (under $5M/year)	Smart Rain	medal
2018	Community Development	State Agency/Office	Utah Department of Workforce Services	medal
2018	Community Development	Web-based Community Resource	The SafeUT Commission	medal
2018	Community Development	Youth Organization	Odyssey House of Utah - Youth Services	medal
2018	Community Development	Youth Organization	Utah State University Extension 4-H	medal
2018	Dining Establishments	American	Antimony Merc	medal
2018	Dining Establishments	American	The Ridge Market & Cafe	medal
2018	Dining Establishments	American Contemporary	Cliffside Restaurant	medal
2018	Dining Establishments	American Pub	Drafts Burger Bar	medal
2018	Dining Establishments	American Traditional	Block Restaurant	medal
2018	Dining Establishments	Asian Grill	HuHot Mongolian Grill	medal
2018	Dining Establishments	Asian/Pacific	Zao Asian Cafe	medal
2018	Dining Establishments	Authentic Mexican	Blue Iguana	medal
2018	Dining Establishments	Baked Goods	Kneaders Bakery and Cafe	medal
2018	Dining Establishments	Bakery	Gourmandise	medal
2018	Dining Establishments	Bakery Breakfast	Kneaders Bakery and Cafe	medal
2018	Dining Establishments	Bakery Sandwiches	Kneaders Bakery and Cafe	medal
2018	Dining Establishments	Boston Style Pizza	Nicolitalia Pizzeria	medal
2018	Dining Establishments	Breakfast	Dunkin' Donuts	medal
2018	Dining Establishments	Breakfast	Penny Ann's Cafe	medal
2018	Dining Establishments	Buffet Brunch	Grand America Hotel Sunday Brunch	medal
2018	Dining Establishments	Cafe	BAKE 360	medal
2018	Dining Establishments	Cakes	Nothing Bundt Cakes	medal
2018	Dining Establishments	Chef	Chef Chad Pritchard	medal
2018	Dining Establishments	Chef	Ivan Ruiz - Edge Steakhouse	medal
2018	Dining Establishments	Chicken	Wing Nutz	medal
2018	Dining Establishments	Chinese	J Wongs Thai & Chinese Bistro	medal
2018	Dining Establishments	Classic Pizza	Little Caesars	medal
2018	Dining Establishments	Cookies	Chip Cookies	medal
2018	Dining Establishments	Diner	Black Bear Diner	medal
2018	Dining Establishments	Diner	Brick House Cafe	medal
2018	Dining Establishments	Dry-rub Barbecue	Pat's BBQ & Catering Co.	medal
2018	Dining Establishments	Family Pizza	Summit Inn Pizza	medal
2018	Dining Establishments	Fast Food	Home of the Train/Dairy Keen	medal
2018	Dining Establishments	Franchise Burgers	Carl's Jr. Restaurants	medal
2018	Dining Establishments	Franchise Burgers	Red Robin	medal
2018	Dining Establishments	French Classical	La Caille at Quail Run	medal
2018	Dining Establishments	Frozen Custard	Nielsens Frozen Custard - Highland	medal
2018	Dining Establishments	Frozen Desserts	Shirokuma Snow Cream	medal
2018	Dining Establishments	Frozen Yogurt	Menchie's Frozen Yogurt St George	medal
2018	Dining Establishments	Gourmet Bistro	Gourmandise	medal
2018	Dining Establishments	Gourmet Burgers	Drafts Burger Bar	medal
2018	Dining Establishments	Gourmet Burgers	The Wall	medal
2018	Dining Establishments	Gourmet Cakes	Cakes de Fleur	medal
2018	Dining Establishments	Gourmet Cookies	Over The Top Cookies	medal
2018	Dining Establishments	Gourmet Pizza	Ridge Market and Cafe	medal
2018	Dining Establishments	Gourmet Soup	Bona Vita Italian Bistro	medal
2018	Dining Establishments	Ice Cream	Howdy Homemade Ice Cream	medal
2018	Dining Establishments	Ice Cream	Leatherby's Family Creamery	medal
2018	Dining Establishments	Indian	Taste of India Grill	medal
2018	Dining Establishments	Italian	Oregano Italian Kitchen	medal
2018	Dining Establishments	Italian	Veneto Ristorante Italiano	medal
2018	Dining Establishments	Italian - N.Y. Style	Bona Vita Italian Bistro	medal
2018	Dining Establishments	Japanese	Tona Sushi Bar and Grill	medal
2018	Dining Establishments	Latin American	Asado Argentinian Grill and cafe	medal
2018	Dining Establishments	Latin American	Empanada Express	medal
2018	Dining Establishments	Local Burgers	Apollo Burger	medal
2018	Dining Establishments	Local Burgers	Hi-Mountain	medal
2018	Dining Establishments	Local Sandwiches	Moochie's Meatballs and More!	medal
2018	Dining Establishments	Lunch Special	Cliffside Restaurant	medal
2018	Dining Establishments	Mediterranean	Layla Grill	medal
2018	Dining Establishments	Mexican	Costa Vida	medal
2018	Dining Establishments	Mexican	Oteo restaurant	medal
2018	Dining Establishments	Modern Bistro	Bona Vita Italian Bistro	medal
2018	Dining Establishments	Modern Indian	Taste of India	medal
2018	Dining Establishments	New American	Cliffside Restaurant	medal
2018	Dining Establishments	New American	Harvest Restaurant	medal
2018	Dining Establishments	Northern European	The Blue Boar Inn & Restaurant	medal
2018	Dining Establishments	Pasta	Bona Vita Italian Bistro	medal
2018	Dining Establishments	Pastries	BAKE 360	medal
2018	Dining Establishments	Pastries	La Bonne Vie	medal
2018	Dining Establishments	Pastries	San Diablo Artisan Churros	medal
2018	Dining Establishments	Pizza - Custom Gourmet	The Ridge Market & Cafe	medal
2018	Dining Establishments	Pizza - Traditional Style	Bona Vita Italian Bistro	medal
2018	Dining Establishments	Plated Brunch	The Blue Boar Inn & Restaurant	medal
2018	Dining Establishments	Private Club	Park Meadows Country Club	medal
2018	Dining Establishments	Restaurant Burger	Bona Vita Italian Bistro	medal
2018	Dining Establishments	Salads	Bona Vita Italian Bistro	medal
2018	Dining Establishments	Seafood	Cliffside Restaurant	medal
2018	Dining Establishments	Shakes	Home of the Train/Dairy Keen	medal
2018	Dining Establishments	Smoothies	The Orange Peel, Inc.	medal
2018	Dining Establishments	Soup	Home of the Train/Dairy Keen	medal
